"Species","Date","Sex","Wing","Culmen","Mass","lat","lon","dist_mau_loa","dist_kil","dist_hil","dist_wai","dist_kon","dist_hua","dist_mau_kea","dist_poh","dist_arm_res","shr_bin","mau_loa_bins","kil_bins","hua_bins","mau_kea_bins","Year"
"HAAM","19-Jun-19","F",57,14.1,10.4,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"HAAM","19-Jun-19","F",62,14,11.7,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"HAAM","20-Jun-19","F",62,13.6,11.7,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"APAP","19-Jun-19","M",75,17.6,12.9,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"APAP","19-Jun-19","M",80,16.8,15.6,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"APAP","19-Jun-19","M",76,17.3,15.2,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"APAP","19-Jun-19","M",78,17.7,15.6,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"APAP","19-Jun-19","F",65,16.3,14.8,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"HAAM","20-Jun-19","F",61,14.6,11.2,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"APAP","20-Jun-19","M",76,15.9,14.3,19.7142145607864,-155.914711351345,43.363434554096,76.5622354652755,91.9190381468794,41.3390242983365,11.6446086112246,6.10194731556929,51.0652078306995,42.573169766317,92.2130993780021,"near","middle","far","near","middle",19
"HAAM","26-Feb-20","M",65,15.4,12,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","26-Feb-20","M",67,16.3,12.7,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","26-Feb-20","M",66,13.7,12.4,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","26-Feb-20","M",65,15.4,13,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","26-Feb-20","F",63,14.1,13.5,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","27-Feb-20","M",63,14.8,13.6,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
"HAAM","25-Feb-20","M",66,14,11.8,19.7381539085102,-155.875233994209,41.3805417812497,73.663419530311,87.5595509189377,36.6646189230918,16.5947062953358,5.12263064461293,46.3906530408576,38.0180794507567,87.9054568839119,"near","middle","far","near","middle",20
